material,default,value
copper,19.36000%,13.02174642
aluminum,2.01000%,4.742230085
lead,1.49000%,3.128094049
zinc,0.60000%,5.406791338
nickel,1.39000%,64.32557858
iron,2.94000%,0.210021109
tin,2.31000%,60.08847148
antimony,0.01000%,
chromium,0.06000%,
sodium,0.08000%,
calcium,0.52000%,
silver,0.01670%,1022.238655
gold,0.00743%,78760.93687
cadmium,0.01972%,
potassium,0.00300%,
manganese,0.06802%,0.007605946
selenium,0.00035%,
arsenic,0.00018%,
magnesium,0.00000%,9.149181259
palladium,0.00367%,99016.40651
cobalt,0.00667%,115.698562
titanium,0.00667%,
platinum,0.00000%,41691.6167
lithium,0.00000%,109.679944
NMF,69.09760%,
,100.00000%,
